"","tax_id","stnum","stname","zip","frontfeet","depth","sqft","acres","nhood","ward","censustract","landuse","yearbuilt","units","vacantbuild","watersvc","assessedland","assessedval","citytaxable","starc","taxtrust","amtdelinqt","taxyrsdelinqt","overduewater","totint"
"58","31150010200000060090000000","513-27","HARRISON ST & TOWNSEND ST","13204",290,230,60200.7138376167,1.382018,"Downtown","15","32","Commercial",1985,0,"N","A",1334000,7e+06,7e+06,7e+06,NA,0,0,0,0
"59","31150010100000090010000000","100-08","ONONDAGA ST E & WARREN ST","13221",366.07,251.31,44161.428867956,1.013807,"Downtown","09","32","Commercial",1924,0,"N","A",1071000,1374000,1374000,1374000,NA,309621.8,8,3098.83,51972.98
"60","31150010100000100050000000","462-74","SALINA ST S TO CLINTON ST","13202",113.02,273.25,29670.028408481,0.68113,"Downtown","09","32","Commercial",1960,0,"N","A",541200,1675000,1675000,1675000,NA,0,0,15,0
"61","31150010100000080040010000","111-13","ONONDAGA ST E & SALINA ST","13204",229.63,238.27,26261.8292128771,0.602889,"Downtown","09","32","Commercial",1980,0,"N","A",918000,2560000,2560000,2560000,NA,805852.45,18,0,284542.57
"62","31150010200000110010000000","200","MADISON ST & STATE ST S &","13202",287.35,358.98,99304.6603541209,2.279721,"Downtown","15","32","Recreation",1930,0,"N","A",2054900,6287300,0,0,NA,0,0,1681.12,0
"63","31150010200000060080000000","426-502","MADISON ST TO HARRISON ST","13210",194.23,418.17,76191.2685665395,1.749111,"Downtown","15","32","Apartment",1985,139,"N","A",1621900,2350000,0,0,NA,0,0,1390.76,0
"64","31150010200000120010030000","100","MADISON ST & WARREN ST S","10007",471.79,179.31,85301.6591363241,1.958257,"Downtown","09","32","Commercial",1980,0,"N","A",1604300,34560000,0,0,NA,0,0,0,0
"65","31150010200000070010000000","431","HARRISON ST & TOWNSEND ST","13202",236.46,367.55,85644.8411585336,1.966135,"Downtown","15","32","Parking",0,0,"N",NA,1306000,1448900,0,0,NA,0,0,0,0
"66","31150010200000140060000000","499","WARREN ST S TO ONONDAGA S","11213",120.41,171.93,8728.94844891688,0.200389,"Downtown","09","32","Commercial",1983,0,"N","A",430900,670000,570000,570000,"ATRUST",102175.13,11,0,31194.57
"67","31150010100000120060000000","550","CLINTON ST S","13209",304,228.18,41047.4058698868,0.942319,"Downtown","09","32","Apartment",1971,294,"N","A",329200,8565600,220600,220600,NA,0,0,260.19,0
